X,Y,HospitalName,Postcode,Telephone,Address
145.1563256,-38.1529638,St John of God Frankston Rehabilitation Hospital,3199,03 9788 3333,"255-265 CRANBOURNE ROAD,FRANKSTON"
144.3578138,-38.1513007,St John of God Geelong Hospital,3220,03 5226 8888,"80 MYERS STREET,GEELONG"
145.2133,-37.97,St John of God Pinelodge Clinic,3175,03 8793 9444,"1480-1486 HEATHERTON ROAD,DANDENONG NORTH"
142.4794,-38.3712,St John of God Warrnambool Hospital,3280,03 5564 0600,"136 BOTANIC ROAD,WARRNAMBOOL"
144.9822,-37.8731,St Kilda Day Hospital,3184,03 9537 3638,"26A DICKENS STREET,ELWOOD"
144.9751,-37.8068,St Vincent's Hospital,3065,03 9231 2211,"41 VICTORIA PARADE,FITZROY"
144.9844614,-37.8119289,St Vincent's Private Hospital East Melbourne,3002,03 9928 6555,"159 GREY STREET,EAST MELBOURNE"
144.9760382,-37.8078547,St Vincent's Private Hospital Fitzroy,3065,03 9411 7111,"59-61 VICTORIA PARADE,FITZROY"
145.024,-37.8065,St Vincent's Private Hospital Kew,3101,03 9851 8888,"5 STUDLEY AVENUE,KEW"
142.7814,-37.0594,Stawell Regional Health,3380,03 5358 8500,"27-29 SLOANE STREET,STAWELL"
145.0393988,-37.8636534,Stonnington Day Surgery,3144,03 9508 9509,"253 WATTLETREE ROAD,MALVERN"
144.7327,-37.5772,Sunbury Day Hospital,3429,03 9732 8600,"7 MACEDON STREET,SUNBURY"
144.816,-37.7599,Sunshine Hospital,3021,03 8345 1333,"176-190 FURLONG ROAD,ST ALBANS"
144.8162628,-37.7610306,Sunshine Private Day Surgery,3021,03 9366 0666,"145 FURLONG ROAD,ST ALBANS"
143.5566,-35.3406,Swan Hill District Health,3585,03 5033 9300,"50-54 SPLATT STREET,SWAN HILL"
144.7586258,-37.6933507,Sydenham Day Surgery,3037,03 8361 6400,"566 MELTON HIGHWAY,SYDENHAM"
147.1839,-36.2138,Tallangatta Health Service,3700,02 6071 5200,"25 BARREE STREET,TALLANGATTA"
145.2253,-36.4393,Tatura Public Hospital,3616,03 5824 8400,"64-68 PARK STREET,TATURA"
142.9024,-38.2394,Terang and Mortlake Health Service,3264,03 5592 0222,"13 AUSTIN AVENUE,TERANG"
144.9821,-37.8456,The Alfred,3004,03 9076 2000,"55 COMMERCIAL ROAD,MELBOURNE"
144.9985,-37.855,The Avenue Hospital,3181,03 9529 7377,"40 THE AVENUE,WINDSOR"
145.0413634,-38.2229698,The Bays Hospital - Mornington,3931,03 5975 2009,"4 VALE STREET,MORNINGTON PENINSULA"
145.216202,-37.9773302,The Digestive Health Centre,3175,03 9791 8788,"90 DAVID STREET,DANDENONG"
144.8853814,-37.7484671,The Essendon Private Hospital,3040,03 9337 9577,"35 ROSEHILL ROAD,ESSENDON WEST"
144.3932,-38.182,The Geelong Clinic,3219,03 5240 0700,"94-102 TOWNSEND ROAD,ST ALBANS PARK"
145.165181,-37.8846424,The Glen Endoscopy Centre,3150,03 9545 0569,"302 SPRINGVALE ROAD,GLEN WAVERLEY"
145.2685,-38.0315,The Hampton Park Women's Health Care Centre,3976,03 9799 2817,"4 WARANA DRIVE,HAMPTON PARK"
144.9996505,-37.8147627,The Melbourne Clinic,3121,03 9429 4688,"130 CHURCH STREET,RICHMOND"
145.2683,-37.8555,The Melbourne Eastern Private Hospital,3155,03 9720 3388,"153-159 SCORESBY ROAD,BORONIA"
145.0416,-38.2301,The Mornington Centre,3931,03 5976 9000,"24 SEPARATION STREET,MORNINGTON"
145.0151,-37.6526,The Northern Hospital,3076,03 8405 8000,"185 COOPER STREET,EPPING"
145.2131,-37.9388,The Valley Private Hospital,3170,03 9790 4259,"535-559 POLICE ROAD,MULGRAVE"
144.9972,-37.8481,The Victoria Clinic,3181,03 9526 0200,"320-324 MALVERN ROAD,PRAHRAN"
145.343015,-38.0327771,The Victorian Cosmetic Institute,3806,13 0086 3824,"1/18-24A CLYDE ROAD,BERWICK"
145.1621446,-37.8983742,The Victorian Rehabilitation Centre,3150,03 9566 2777,"499 SPRINGVALE ROAD,GLEN WAVERLEY"
142.9766,-38.4865,Timboon and District Healthcare Service,3268,03 5558 6000,"21 HOSPITAL ROAD,TIMBOON"
145.0282824,-37.8639688,Toorak - Malvern Day Surgery Centre,3144,03 9822 9822,"302 GLENFERRIE ROAD,MALVERN"
145.008,-37.8414,Toorak Cosmetic Surgery Day Centre,3142,03 9826 0977,"109 MATHOURA ROAD,TOORAK"
144.8876,-37.7974,Tweddle Child and Family Health Service,3011,03 9689 1577,"49-71 ADELAIDE STREET,FOOTSCRAY"
144.3654,-38.1512,University Hospital Geelong,3220,03 4215 0100,"272-322 RYRIE STREET,GEELONG"
147.9032,-36.1988,Upper Murray Health and Community Services,3707,02 6076 3200,"16-20 KIELL STREET,CORRYONG"
144.8869764,-37.7916217,Ursula Frayne Centre,3011,03 9319 7000,"35 MAVIS STREET,FOOTSCRAY"
145.1995792,-37.8585649,Vermont Private Hospital,3133,03 8547 1111,"645-647 BURWOOD HWY,VERMONT SOUTH"
144.9749984,-37.8084897,Victoria Parade Surgery Centre,3002,03 9650 4000,"100 VICTORIA PARADE,EAST MELBOURNE"
145.0618787,-37.6925728,Victorian Gut Centre,3083,03 9466 8466,"119 PLENTY ROAD,BUNDOORA"
145.0555,-37.8325,Vision Day Surgery Camberwell,3123,03 9882 1347,"25-27 DENMARK HILL ROAD,HAWTHORN EAST"
145.1195514,-37.8176926,Vision Day Surgery Eastern,3128,03 9890 4333,"852 WHITEHORSE ROAD,BOX HILL"
144.8951,-37.8005,Vision Day Surgery Footscray,3011,03 9689 9233,"89 PAISLEY STREET,FOOTSCRAY"
144.9803,-37.8506,Vision Laser St Kilda Road,3004,03 9521 2175,"600-602 ST KILDA ROAD,MELBOURNE"
146.3122,-36.3492,Wangaratta Private Hospital,3677,03 5723 0900,"134/150 TEMPLETON STREET,WANGARATTA"
145.2262,-37.8482,Wantirna Health,3152,03 9955 1200,"251 MOUNTAIN HIGHWAY,WANTIRNA"
145.0085,-36.5879,Waranga Memorial Hospital,3612,03 5851 8000,"14 COYLE STREET,RUSHWORTH"
145.0603,-37.7551,Warringal Private Hospital,3084,03 9274 1300,"216 BURGUNDY STREET,HEIDELBERG"
145.1466179,-37.8803499,Waverley Endoscopy,3149,03 9887 8698,"301 BLACKBURN ROAD,MOUNT WAVERLEY"
145.1457,-37.8847,Waverley Private Hospital,3149,03 9881 7700,"343-357 BLACKBURN ROAD,MOUNT WAVERLEY"
145.9275,-38.1728,West Gippsland Healthcare Group,3820,03 5623 0611,"41 LANDSBOROUGH STREET,WARRAGUL"
141.9844,-36.1409,West Wimmera Health Service,3423,03 5396 5500,"2 CHARLES STREET,JEPARIT"
141.6561,-36.3339,West Wimmera Health Service,3418,03 5391 4222,"51 NELSON STREET,NHILL"
141.9951,-35.9041,West Wimmera Health Service,3424,03 5396 3300,"2 SWINBOURNE AVENUE,RAINBOW"
141.6925,-37.5998,Western District Health Service,3315,03 5553 2000,"119 MCKEBERY STREET,COLERAINE"
144.8853872,-37.7919806,Western Gastroenterology Services,3011,03 9318 3399,"30 ELEANOR STREET,FOOTSCRAY"
144.8874,-37.7924,Western Hospital,3011,03 8345 6666,"160 GORDON STREET,FOOTSCRAY"
144.885643,-37.7930569,Western Private Hospital,3011,03 9318 3177,"1-9 MARION STREET,FOOTSCRAY"
144.8856565,-37.7930748,Western Radiation Oncology Centre,3011,03 9319 3200,"1-9 MARION STREET,FOOTSCRAY"
144.6797482,-37.8774855,Westpoint Endoscopy Day Hospital,3030,03 9748 7555,"243 HEATHS ROAD,WERRIBEE"
144.8928,-37.8636,Williamstown Hospital,3016,03 9393 0100,"76A RAILWAY CRESCENT,WILLIAMSTOWN"
142.0242,-36.4497,Wimmera Base Hospital,3414,03 5363 7100,"32 ANDERSON STREET,DIMBOOLA"
142.2092,-36.7119,Wimmera Base Hospital,3400,03 5381 9111,"83 BAILLIE STREET,HORSHAM"
145.1493,-37.9514,Windsor Avenue Day Surgery,3171,03 9548 5555,"17 WINDSOR AVENUE,SPRINGVALE"
144.9980639,-37.8560853,Windsor Private Hospital,3181,03 9520 9520,"20-22 THE AVENUE,WINDSOR"
145.0185,-37.961,Women's Sandringham,3191,03 9076 1000,"191-193 BLUFF ROAD,SANDRINGHAM"
144.7007566,-37.8870367,Wyndham Clinic,3030,03 9731 6646,"242A HOPPERS LANE,WERRIBEE"
145.3514,-37.7566,Yarra Ranges Health,3140,13 0034 2255,"25 MARKET STREET,LILYDALE"
146.6781,-38.5571,Yarram and District Health Service,3971,03 5182 0222,"85-91 COMMERCIAL ROAD,YARRAM"
146.0068327,-36.0111981,Yarrawonga Health,3730,03 5743 8111,"33 PIPER STREET,YARRAWONGA"
145.4313,-37.2139,Yea and District Memorial Hospital,3717,03 5736 0400,"45 STATION STREET,YEA"
